Boston Celtics,Brooklyn Nets,Atlanta Hawks,Washington Wizards,Charlotte Hornets,Orlando Magic,Miami Heat,Golden State Warriors,Los Angeles Clippers,Sacremento Kings,Phoenix Suns,Los Angeles Lakers,San Antonio Spurs,Memphis Grizzlies,Houston Rockets,Dallas Mavericks,New Orleans Pelicans,Utah Jazz,Portland Trail Blazers,Oklahoma City Thunder,Minnesota Timberwolves,Denver Nuggets,Philadelphia 76ers,Toronto Raptors,New York Knicks,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers,Milwaukee Bucks,Chicago Bulls
Marcus Haislip,San Antonio Spurs,2.5,1,0,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Landry,Boston Celtics,2.4,1.1,0,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Thornton,New Orleans Pelicans,14.5,2.9,1.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Morris Peterson,New Orleans Pelicans,7.1,2.7,0.9,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Monta Ellis,Golden State Warriors,25.5,4,5.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mo Williams,Cleveland Cavaliers,15.8,3,5.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mikki Moore,Golden State Warriors,5,3,1.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mike Wilks,Oklahoma City Thunder,4,1,1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mike Miller,Washington Wizards,10.9,6.2,3.9,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mike James,Washington Wizards,4.5,0.8,1.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mike Harris,Houston Rockets,2.2,1.8,0.2,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mike Dunleavy,Indiana Pacers,9.9,3.5,1.5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mike Conley,Memphis Grizzlies,12,2.4,5.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mike Bibby,Atlanta Hawks,9.1,2.3,3.9,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mickael Pietrus,Orlando Magic,8.7,2.9,0.7,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Michael Redd,Milwaukee Bucks,11.9,3,2.2,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Michael Finley,Boston Celtics,4.4,1.5,0.9,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Michael Beasley,Miami Heat,14.8,6.4,1.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Metta World Peace,Los Angeles Lakers,11,4.3,3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mehmet Okur,Utah Jazz,13.5,7.1,1.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Evans,Atlanta Hawks,5.7,1.9,0.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Byron Mullens,Oklahoma City Thunder,1.1,0.8,0.1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Matt Bonner,San Antonio Spurs,7,3.3,1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Matt Barnes,Orlando Magic,8.8,5.5,1.7,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Williams,Atlanta Hawks,10.1,5.1,1.1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Martell Webster,Portland Trail Blazers,9.4,3.3,0.8,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Marreese Speights,Philadelphia 76ers,8.6,4.1,0.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Marquis Daniels,Boston Celtics,5.6,1.9,1.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mario West,Atlanta Hawks,0.8,0.7,0.2,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mario Chalmers,Miami Heat,7.1,1.8,3.4,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Mardy Collins,Los Angeles Clippers,2.6,1.2,1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Williams,Memphis Grizzlies,4.3,1.5,2.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Thomas,Milwaukee Bucks,3,4.2,0.7,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Jawai,Minnesota Timberwolves,3.2,2.7,0.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kris Humphries,Brooklyn Nets,7.1,5.5,0.5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,Los Angeles Lakers,27,5.4,5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Joel Anthony,Miami Heat,2.7,3.1,0.2,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Joe Smith,Atlanta Hawks,3,2.5,0.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Joe Johnson,Atlanta Hawks,21.3,4.6,4.9,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Joe Alexander,Chicago Bulls,0.5,0.6,0.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jodie Meeks,Philadelphia 76ers,4.7,1.7,0.7,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Joakim Noah,Chicago Bulls,10.7,11,2.1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jerryd Bayless,Portland Trail Blazers,8.5,1.6,2.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Stackhouse,Milwaukee Bucks,8.5,2.4,1.7,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine Taylor,Houston Rockets,4.1,1.5,0.5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine O'Neal,Miami Heat,13.6,6.9,1.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Teague,Atlanta Hawks,3.2,0.9,1.7,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Green,Oklahoma City Thunder,15.1,6,1.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Foster,Indiana Pacers,3.1,5.1,1.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Joel Przybilla,Portland Trail Blazers,4.1,7.9,0.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Ayres,Portland Trail Blazers,2.7,2.5,0,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jason Williams,Orlando Magic,6,1.5,3.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jason Thompson,Sacramento Kings,12.5,8.5,1.7,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jason Terry,Dallas Mavericks,16.6,1.8,3.8,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jason Smith,Philadelphia 76ers,3.4,2.4,0.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jason Richardson,Phoenix Suns,15.7,5.1,1.8,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jason Maxiell,Detroit Pistons,6.8,5.3,0.5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jason Kidd,Dallas Mavericks,10.3,5.6,9.1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jason Kapono,Philadelphia 76ers,5.7,1.2,0.7,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jason Hart,New Orleans Pelicans,0.4,0.4,1.2,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jason Collins,Atlanta Hawks,0.7,0.6,0.2,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jarvis Hayes,Brooklyn Nets,7.8,2.4,0.9,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jarron Collins,Phoenix Suns,1,1.8,0.2,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jarrett Jack,Toronto Raptors,11.4,2.7,5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jawad Williams,Cleveland Cavaliers,4.1,1.5,0.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Joey Dorsey,Sacramento Kings,1.5,2.9,0.1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Joey Graham,Denver Nuggets,4.3,2,0.4,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Johan Petro,Denver Nuggets,3.4,3.6,0.4,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kirk Hinrich,Chicago Bulls,10.9,3.5,4.5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Keyon Dooling,Brooklyn Nets,6.9,1,2.5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Ollie,Oklahoma City Thunder,1.8,1,0.8,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Martin,Houston Rockets,20.6,3.6,2.4,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Love,Minnesota Timberwolves,14,11,2.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Garnett,Boston Celtics,14.3,7.3,2.7,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,Oklahoma City Thunder,30.1,7.6,2.8,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon Martin,Denver Nuggets,11.5,9.4,1.9,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Thomas,Sacramento Kings,1.6,3.3,0.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Perkins,Boston Celtics,10.1,7.6,1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kelenna Azubuike,Golden State Warriors,13.9,4.6,1.1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Keith Bogans,San Antonio Spurs,4.4,2.2,1.2,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Rush,Los Angeles Clippers,1.3,0.9,0.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Howard,Portland Trail Blazers,6,4.6,0.8,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Julian Wright,New Orleans Pelicans,3.8,2.1,0.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jrue Holiday,Philadelphia 76ers,8,2.6,3.8,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Josh Smith,Atlanta Hawks,15.7,8.7,4.2,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Josh Powell,Los Angeles Lakers,2.7,1.8,0.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Josh McRoberts,Indiana Pacers,4.3,3,1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Josh Howard,Washington Wizards,12.7,3.6,1.4,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Josh Boone,Brooklyn Nets,4,5,0.5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jose Calderon,Toronto Raptors,10.3,2.1,5.9,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Hill,Houston Rockets,5.2,3.7,0.4,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Farmar,Los Angeles Lakers,7.2,1.6,1.5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jonny Flynn,Minnesota Timberwolves,13.5,2.4,4.4,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Bender,New York Knicks,4.7,2.1,0.6,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Jerebko,Detroit Pistons,9.3,6,0.7,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Jon Brockman,Sacramento Kings,2.8,4.1,0.4,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
John Salmons,Milwaukee Bucks,15.4,3.3,2.8,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Kosta Koufos,Utah Jazz,1.5,1.3,0.2,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Tyrus Thomas,Charlotte Hornets,9.4,6.2,1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Matt Carroll,Dallas Mavericks,1.8,0.5,0.2,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Udonis Haslem,Miami Heat,9.9,8.1,0.7,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Chandler,Charlotte Hornets,6.5,6.3,0.3,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
CJ Miles,Utah Jazz,9.9,2.7,1.7,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Zydrunas Ilgauskas,Cleveland Cavaliers,7.4,5.4,0.8,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Zaza Pachulia,Atlanta Hawks,4.3,3.8,0.5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Zach Randolph,Memphis Grizzlies,20.8,11.7,1.8,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Yi Jianlian,Brooklyn Nets,12,7.2,0.9,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Yakhouba Diawara,Miami Heat,0.8,0.7,0.5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Watson,Golden State Warriors,10.3,2.6,2.8,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Willie Green,Philadelphia 76ers,8.7,1.8,2.1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Vince Carter,Orlando Magic,16.6,3.9,3.1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Wilson Chandler,New York Knicks,15.3,5.4,2.1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Ellington,Minnesota Timberwolves,6.6,2.1,1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir Radmanovic,Golden State Warriors,6.2,4.3,1.1,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Will Bynum,Detroit Pistons,10,2.3,4.5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Will Conroy,Houston Rockets,1.2,0.6,1.4,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Matthews,Utah Jazz,9.4,2.3,1.5,2009-10,,,,,,,,,,,,,,,,,,,,,,,,
JR Smith,Denver Nuggets,12.3,4.1,2.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
JaVale McGee,Washington Wizards,10.1,8,0.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jamaal Magloire,Miami Heat,1.9,3.4,0.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
James Posey,Indiana Pacers,4.9,3,0.7,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jamario Moon,Los Angeles Clippers,4.3,2.8,0.9,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jameer Nelson,Orlando Magic,13.1,3,6,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
James Anderson,San Antonio Spurs,3.6,0.9,0.7,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
James Harden,Oklahoma City Thunder,12.2,3.1,2.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
James Johnson,Toronto Raptors,7.1,3.7,2.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
James Jones,Miami Heat,5.9,2,0.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Crawford,Atlanta Hawks,14.2,1.7,3.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jarrett Jack,New Orleans Pelicans,8.9,2.1,2.9,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jared Jeffries,New York Knicks,1.8,2.8,0.9,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
JJ Redick,Orlando Magic,10.1,1.9,1.7,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jarron Collins,Portland Trail Blazers,0.7,0.9,0.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jason Collins,Atlanta Hawks,2,2.1,0.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jason Kapono,Philadelphia 76ers,0.7,0.5,0.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jason Kidd,Dallas Mavericks,7.9,4.4,8.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jason Maxiell,Detroit Pistons,4.2,3,0.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jason Richardson,Orlando Magic,15.6,4.1,1.8,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jason Smith,New Orleans Pelicans,4.3,3.1,0.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jason Terry,Dallas Mavericks,15.8,1.9,4.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jason Thompson,Sacramento Kings,8.8,6.1,1.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jared Dudley,Phoenix Suns,10.6,3.9,1.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
JJ Hickson,Cleveland Cavaliers,13.8,8.7,1.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Ike Diogu,Los Angeles Clippers,5.8,3.2,0.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Ish Smith,Memphis Grizzlies,2.3,1.1,1.8,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Gary Forbes,Denver Nuggets,5.2,1.8,0.8,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Gary Neal,San Antonio Spurs,9.8,2.5,1.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
George Hill,San Antonio Spurs,11.6,2.6,2.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Henderson,Charlotte Hornets,9.6,3,1.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Wallace,Portland Trail Blazers,15.7,8,2.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Arenas,Orlando Magic,10.8,2.7,3.9,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Glen Davis,Boston Celtics,11.7,5.4,1.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Goran Dragic,Houston Rockets,7.5,2,2.9,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Gordon Hayward,Utah Jazz,5.4,1.9,1.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Grant Hill,Phoenix Suns,13.2,4.2,2.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Greg Monroe,Detroit Pistons,9.4,7.5,1.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Greivis Vasquez,Memphis Grizzlies,3.6,1,2.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Hakim Warrick,Phoenix Suns,8.4,3.7,0.9,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Hamady Ndiaye,Washington Wizards,0.9,0.4,0,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Hamed Haddadi,Memphis Grizzlies,2.4,2.2,0.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Hasheem Thabeet,Houston Rockets,1.1,1.6,0.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Hassan Whiteside,Sacramento Kings,0,0,0,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Hedo Turkoglu,Orlando Magic,10.8,4.4,4.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Henry Walker,New York Knicks,4.9,2,0.6,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Hilton Armstrong,Atlanta Hawks,1.7,2.5,0.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Ian Mahinmi,Dallas Mavericks,3.1,2.1,0.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jason Williams,Memphis Grizzlies,2,1.1,1.9,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Ime Udoka,San Antonio Spurs,0.7,1,0.7,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
J.J. Barea,Dallas Mavericks,9.5,2,3.9,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jawad Williams,Cleveland Cavaliers,4,1.8,0.8,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Teague,Atlanta Hawks,5.2,1.5,2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Foster,Indiana Pacers,3.3,6.3,0.8,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Josh Howard,Washington Wizards,8.4,4.1,1.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Josh McRoberts,Indiana Pacers,7.4,5.3,2.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Josh Powell,Atlanta Hawks,4.1,2.5,0.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Josh Smith,Atlanta Hawks,16.5,8.5,3.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jrue Holiday,Philadelphia 76ers,14,4,6.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Julian Wright,Toronto Raptors,3.6,2.3,1.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Howard,Miami Heat,2.4,2.1,0.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Keith Bogans,Chicago Bulls,4.4,1.8,1.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Perkins,Oklahoma City Thunder,6,8,0.9,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon Martin,Denver Nuggets,8.6,6.2,2.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,Oklahoma City Thunder,27.7,6.8,2.7,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Garnett,Boston Celtics,14.9,8.9,2.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Love,Minnesota Timberwolves,20.2,15.2,2.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Martin,Houston Rockets,23.5,3.2,2.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Seraphin,Washington Wizards,2.7,2.6,0.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Keyon Dooling,Milwaukee Bucks,7.1,1.5,3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kirk Hinrich,Atlanta Hawks,10.2,2.5,4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,Los Angeles Lakers,25.3,5.1,4.7,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kosta Koufos,Denver Nuggets,3.2,2.6,0.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kris Humphries,Brooklyn Nets,10,10.4,1.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Thomas,Chicago Bulls,4.1,5.8,1.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kwame Brown,Charlotte Hornets,7.9,6.8,0.7,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Korver,Chicago Bulls,8.3,1.8,1.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Josh Childress,Phoenix Suns,5,2.9,0.8,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Adrien,Golden State Warriors,2.5,2.5,0.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jose Calderon,Toronto Raptors,9.8,3,8.9,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Farmar,Brooklyn Nets,9.6,2.4,5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Green,Boston Celtics,13.3,4.8,1.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Temple,Charlotte Hornets,2.4,1,1.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Evans,Utah Jazz,3.6,2,0.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Lin,Golden State Warriors,2.6,1.2,1.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine O'Neal,Boston Celtics,5.4,3.7,0.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine Taylor,Sacramento Kings,6.6,1.8,0.9,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Stackhouse,Miami Heat,1.7,1,0.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jerryd Bayless,Toronto Raptors,9.2,2.3,3.7,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Joakim Noah,Chicago Bulls,11.7,10.4,2.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jodie Meeks,Philadelphia 76ers,10.5,2.3,1.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Joe Johnson,Atlanta Hawks,18.2,4,4.7,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Joe Smith,Los Angeles Lakers,0.5,1.3,0.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Joel Anthony,Miami Heat,2,3.5,0.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Joel Przybilla,Charlotte Hornets,1.8,4,0.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Joey Dorsey,Toronto Raptors,3.1,4.4,0.6,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Joey Graham,Cleveland Cavaliers,5.2,2.2,0.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Johan Petro,Brooklyn Nets,3.5,2.8,0.6,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
John Lucas III,Chicago Bulls,1,0,0.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
John Salmons,Milwaukee Bucks,14,3.6,3.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
John Wall,Washington Wizards,16.4,4.6,8.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jon Brockman,Milwaukee Bucks,2.2,2.9,0.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jonny Flynn,Minnesota Timberwolves,5.3,1.5,3.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Crawford,Washington Wizards,11.7,2.5,2.8,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Hill,Houston Rockets,5.6,4.3,0.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Garret Siler,Phoenix Suns,2.1,1.3,0.1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Elson,Utah Jazz,2.2,1.9,0.5,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Garcia,Sacramento Kings,9.7,2.3,1.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Chris Johnson,Portland Trail Blazers,2.4,2.3,0.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Chris Kaman,Los Angeles Clippers,12.4,7,1.4,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Chris Paul,New Orleans Pelicans,15.9,4.1,9.8,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Chris Quinn,San Antonio Spurs,2,0.6,1,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Chris Wilcox,Detroit Pistons,7.4,4.8,0.8,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Christian Eyenga,Cleveland Cavaliers,6.9,2.8,0.8,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Chuck Hayes,Houston Rockets,7.9,8.1,2.7,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Cole Aldrich,Oklahoma City Thunder,1,1.9,0.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Corey Brewer,Dallas Mavericks,8,2.5,1.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Corey Maggette,Milwaukee Bucks,12,3.6,1.3,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
Courtney Lee,Houston Rockets,8.3,2.6,1.2,2010-11,,,,,,,,,,,,,,,,,,,,,,,,
