Boston Celtics,Brooklyn Nets,Atlanta Hawks,Washington Wizards,Charlotte Hornets,Orlando Magic,Miami Heat,Golden State Warriors,Los Angeles Clippers,Sacremento Kings,Phoenix Suns,Los Angeles Lakers,San Antonio Spurs,Memphis Grizzlies,Houston Rockets,Dallas Mavericks,New Orleans Pelicans,Utah Jazz,Portland Trail Blazers,Oklahoma City Thunder,Minnesota Timberwolves,Denver Nuggets,Philadelphia 76ers,Toronto Raptors,New York Knicks,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers,Milwaukee Bucks,Chicago Bulls
James Robinson,Minnesota Timberwolves,8.3,1.6,1.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
James Scott,Miami Heat,0.1,0.8,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Feick,San Antonio Spurs,3.7,5.2,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Watson,Dallas Mavericks,3.4,2,1.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jaren Jackson,Washington Wizards,5,1.8,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jason Caffey,Chicago Bulls,7.3,4,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jason Kidd,Phoenix Suns,10.9,4.5,9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jason Sasser,Dallas Mavericks,2.4,1,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jayson Williams,Brooklyn Nets,13.4,13.5,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Grayer,Sacramento Kings,3.6,1.5,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Hornacek,Utah Jazz,14.5,2.9,4.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Hersey Hawkins,Oklahoma City Thunder,13.9,3.9,3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Jones,Los Angeles Lakers,17.2,4.1,3.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Johnson,Houston Rockets,8.2,2.7,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ed Pinckney,Miami Heat,2.4,2.4,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Chris Jent,New York Knicks,2,0.3,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Chris Mills,Cleveland Cavaliers,13.4,6.2,2.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Chris Morris,Utah Jazz,4.3,2.2,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Chris Mullin,Golden State Warriors,14.5,4,4.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Chris Robinson,Memphis Grizzlies,4.6,1.7,1.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Chris Webber,Washington Wizards,20.1,10.3,4.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Chris Whitney,Washington Wizards,5.2,1.3,2.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Christian Laettner,Atlanta Hawks,18.1,8.8,2.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Chucky Brown,Milwaukee Bucks,2.9,2.1,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Chris Gatling,Brooklyn Nets,19,7.9,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Clar. Weatherspoon,Philadelphia 76ers,12.2,8.3,1.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Clifford Rozier,Toronto Raptors,4.5,5.6,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Clyde Drexler,Houston Rockets,18,6,5.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Corie Blount,Los Angeles Lakers,4.2,4.8,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Corliss Williamson,Sacramento Kings,11.6,4.1,1.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Cory Alexander,San Antonio Spurs,7.2,1.5,3.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Craig Ehlo,Oklahoma City Thunder,3.5,1.8,1.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Cuonzo Martin,Milwaukee Bucks,0,0.3,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dale Davis,Indiana Pacers,10.4,9.7,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dale Ellis,Denver Nuggets,16.6,3.6,2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Clifford Robinson,Portland Trail Blazers,15.1,4,3.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Chris Dudley,Portland Trail Blazers,3.9,7.3,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Chris Childs,New York Knicks,9.3,2.9,6.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Chris Carr,Minnesota Timberwolves,6.1,2.1,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Brian Evans,Orlando Magic,1.4,0.6,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Brian Grant,Sacramento Kings,10.5,5.9,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Brian Shaw,Orlando Magic,7.2,2.5,4.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Brooks Thompson,Denver Nuggets,6.6,1.4,2.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
